Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 20c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,80,NA,NA,NA,NA,NA,Tipuanatipu,NA,NA,NA,254.7245676,2.84,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,1.164877881,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
27,5:36:46,6261.5,1.23,1.23,0.0184,281,0.265,1.42,6,0.5,2.25,21.66,23.26,21.31,399.71,397.04,14.073,14.595,53.8,55.8,300,1199,370,99.35,21.7,-0.421,1,111114,-9999,-9999
28,5:38:34,6369.5,0.687,0.687,0.0162,225,0.228,1.38,6,0.5,2.25,20.97,23.05,20.34,300.77,299.26,14.113,14.562,56.3,58.06,300,1199,371,99.35,20.5,-0.347,1,111114,-9999,-9999
29,5:40:13,6468.5,0.262,0.262,0.0171,170,0.237,1.36,6,0.5,2.25,20.91,22.94,20.35,199.81,199.19,14.129,14.596,56.58,58.41,300,1199,371,99.36,18.7,-0.294,1,111114,-9999,-9999
30,5:41:56,6571.5,-0.147,-0.147,0.0175,112,0.241,1.35,6,0.5,2.25,20.89,22.89,20.35,100.38,100.62,14.16,14.635,56.78,58.64,299.9,1199,371,99.35,16.7,-0.222,1,111114,-9999,-9999
31,5:43:22,6657.5,-0.462,-0.462,0.018,89.8,0.248,1.35,6,0.5,2.25,21.02,22.91,20.55,49.2,50.1,14.175,14.664,56.41,58.31,299.9,1199,372,99.35,15.5,-0.193,1,111114,-9999,-9999
32,5:45:40,6795,1.27,1.27,0.0187,280,0.26,1.36,6,0.5,2.25,21.03,22.92,20.55,400.37,397.62,14.025,14.536,55.78,57.76,300,1199,372,99.35,22.2,-0.409,1,111114,-9999,-9999
33,5:46:38,6853,1.24,1.24,0.0185,281,0.258,1.37,6,0.5,2.25,21.03,22.94,20.55,399.63,396.95,14.012,14.521,55.71,57.68,300,1199,372,99.35,22.2,-0.417,1,111114,-9999,-9999
34,5:48:27,6962.5,1.83,1.83,0.0191,431,0.267,1.37,6,0.5,2.25,21.03,22.93,20.55,600.86,596.89,13.927,14.454,55.36,57.41,300.1,1199,373,99.35,25,-0.492,1,111114,-9999,-9999
35,5:50:44,7099.5,2.24,2.24,0.0183,581,0.259,1.39,6,0.5,2.25,21.04,22.97,20.55,799.06,794.17,13.853,14.362,55.03,57.01,299.9,1199,374,99.34,26.9,-0.565,1,111114,-9999,-9999
36,5:52:54,7229,2.45,2.45,0.0183,759,0.262,1.4,6,0.5,2.25,21.05,23,20.55,1000.17,994.74,13.761,14.277,54.61,56.64,300,1199,374,99.34,28.8,-0.623,1,111114,-9999,-9999
37,5:55:00,7355.5,2.54,2.54,0.0169,927,0.243,1.41,6,0.5,2.25,21.06,23.01,20.55,1199.27,1193.6,13.732,14.212,54.5,56.36,300,1199,373,99.33,30.2,-0.668,1,111114,-9999,-9999
38,5:57:34,7509.5,2.98,2.98,0.0155,1.15E+03,0.226,1.43,6,0.5,2.25,21.06,23.03,20.55,1498.87,1492.24,13.639,14.085,54.13,55.86,300,1200,372,99.33,31,-0.751,1,111114,-9999,-9999
39,5:59:55,7650.5,3.51,3.51,0.0154,1.58E+03,0.225,1.43,6,0.5,2.25,21.05,23,20.55,1999.33,1991.41,13.514,13.958,53.62,55.37,300,1201,372,99.33,30.6,-0.851,1,111114,-9999,-9999
