Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 30c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2015,72,NA,NA,NA,NA,NA,Betulaalleghaniensis,NA,NA,NA,285.763437,1.88,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,2.068748043,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
66,15:41:33,18789.00001,2.308796175,2.308796175,0.178922203,328.5642767,10.54803578,5.911114811,6,0.5,2.25,48.47324371,45.67092896,49.94581985,399.4329529,386.6441345,20.43832207,40.69886398,17.75555038,35.35409164,299.6585999,1200.682251,44.38529205,99.90338135,15.99671173,1.352367759,1,111114,-9999,-9999
67,15:43:10,18886.00001,0.938862652,0.938862652,0.17577477,254.3204724,10.6152657,6.041322489,6,0.5,2.25,48.74126434,45.9828949,49.93044281,299.6532593,291.5763245,20.62284088,41.00524139,17.85111618,35.13201141,299.6698303,1200.327881,42.00838089,99.90483856,15.43851471,1.356727958,1,111114,-9999,-9999
68,15:44:54,18990.00001,-0.332974362,-0.332974362,0.176881265,179.5988504,10.70941552,6.058326347,6,0.5,2.25,48.52191544,46.04867935,49.53616333,199.3222351,195.7906799,20.61491394,41.17451859,18.04472923,35.67039871,299.6690063,1200.110229,36.2601738,99.91195679,14.59937286,1.37648809,1,111114,-9999,-9999
69,15:46:37,19093.00001,-1.303241126,-1.303241126,0.179076979,102.6932521,10.8164594,6.048250807,6,0.5,2.25,48.52199936,46.06789017,49.53770447,100.3291702,100.7564926,20.61413383,41.37612152,18.04508972,35.84405136,299.6509705,1200.208252,36.3733139,99.91054535,13.09383392,1.373428702,1,111114,-9999,-9999
70,15:49:12,19248.00001,-1.66577541,-1.66577541,0.181738023,61.43555725,10.93353184,6.029862511,6,0.5,2.25,48.52958298,46.07242584,49.53870392,49.36459732,51.57102203,20.6027317,41.58499527,18.02972221,36.01059723,299.6491089,1200.061646,39.08204269,99.90775299,12.24433899,1.3849262,1,111114,-9999,-9999
71,15:52:11,19426.50001,0.982432136,0.982432136,0.180486056,342.7914393,10.86629147,6.030277003,6,0.5,2.25,48.53876495,46.08615875,49.5372963,400.2555237,389.8077393,20.80578804,41.65581512,18.27059364,36.0525322,299.6729126,1200.356079,40.21892548,99.8998642,16.24775696,1.394356132,1,111114,-9999,-9999
72,15:53:15,19491.00001,1.036228576,1.036228576,0.182554035,341.6376917,10.97927803,6.029042612,6,0.5,2.25,48.5430069,46.08206177,49.53977203,399.5684509,388.9440002,20.58114624,41.64767456,17.99808121,36.03735733,299.679657,1199.73291,38.63048172,99.89772034,16.15022278,1.398605704,1,111114,-9999,-9999
73,15:55:40,19636.00001,2.23342045,2.23342045,0.182031999,506.2972899,10.95416914,6.031525404,6,0.5,2.25,48.54668808,46.07478333,49.53814697,600.6472778,583.3812256,20.56535339,41.58491135,17.98135567,35.97768021,299.6820679,1199.873535,36.39432144,99.89752197,17.28944397,1.39696157,1,111114,-9999,-9999
74,15:58:04,19779.50001,3.134460898,3.134460898,0.179036964,671.5363764,10.80633725,6.042623466,6,0.5,2.25,48.54555893,46.08058929,49.53863907,799.1900635,776.1217041,20.76405716,41.50255966,18.22768402,35.90916824,299.6700439,1199.900024,43.65963745,99.90128326,17.9936676,1.403446555,1,111114,-9999,-9999
