Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 15c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,30,NA,NA,NA,NA,NA,Ulmusamericana,NA,NA,NA,164.4395251,1.88,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,2.180840609,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
53,14:21:47,14550,-0.346,-0.346,0.0378,377,2.19,5.53,6,0.5,2.25,38.75,41.08,38.22,399.48,398.42,19.113,23.393,27.32,33.44,299.8,1200,398,99.12,25.8,-0.413,0.7,111114,-9999,-9999
54,14:25:17,14760,-0.87,-0.87,0.0397,307,2.26,5.46,6,0.5,2.25,38.01,40.92,36.85,299.54,299.93,19.109,23.531,28.43,35.01,299.8,1199,442,99.1,23.9,-0.312,0.3,111114,-9999,-9999
55,14:28:47,14970,-0.817,-0.817,0.0411,214,2.35,5.47,6,0.5,2.25,37.77,40.99,36.93,200.32,201.01,19.077,23.666,28.75,35.66,299.9,1199,401,99.08,21.9,-0.247,0.3,111114,-9999,-9999
56,14:32:17,15180,-1.3,-1.3,0.0426,141,2.42,5.43,6,0.5,2.25,37.89,40.92,37.06,99.83,101.95,19.068,23.786,28.54,35.6,299.9,1200,401,99.07,19.5,-0.175,0.3,111114,-9999,-9999
57,14:35:47,15390,-1.27,-1.27,0.0443,93.3,2.5,5.42,6,0.5,2.25,38.18,40.94,37.45,51.07,53.34,19.046,23.936,28.06,35.26,300,1200,420,99.04,18.2,-0.122,0.3,111114,-9999,-9999
58,14:39:16,15599,-0.941,-0.941,0.0422,399,2.42,5.48,6,0.5,2.25,38.2,40.98,37.45,400.45,400.4,18.811,23.524,27.68,34.62,300.3,1201,472,99.03,26.4,-0.377,0.3,111114,-9999,-9999
59,14:42:46,15809,-0.644,-0.644,0.0422,388,2.41,5.46,6,0.5,2.25,37.92,40.91,37.02,399.95,399.32,18.771,23.473,28.04,35.06,299.9,1200,401,98.99,26.2,-0.376,0.7,111114,-9999,-9999
60,14:46:16,16019,-0.463,-0.463,0.042,562,2.41,5.49,6,0.5,2.25,38.19,40.96,37.49,599.83,597.87,18.613,23.325,27.39,34.33,299.9,1201,402,99,29.9,-0.491,0.3,111114,-9999,-9999
61,14:49:46,16229,-0.355,-0.355,0.0417,738,2.4,5.51,6,0.5,2.25,38.2,40.97,37.45,799.46,796.35,18.482,23.178,27.19,34.1,299.9,1201,437,99,33.6,-0.553,0.3,111114,-9999,-9999
62,14:53:16,16439,0.13,0.13,0.0413,901,2.39,5.54,6,0.5,2.25,38.21,41,37.45,1000.46,995.43,18.355,23.034,26.98,33.85,299.9,1200,465,98.97,35.9,-0.647,0.7,111114,-9999,-9999
63,14:56:46,16648,0.314,0.314,0.0412,1.08E+03,2.37,5.51,6,0.5,2.25,37.94,40.89,37.03,1200.83,1194.53,18.259,22.9,27.23,34.15,299.8,1200,402,98.95,38.6,-0.713,0.7,111114,-9999,-9999
64,15:00:15,16858,0.909,0.909,0.0407,1.32E+03,2.36,5.55,6,0.5,2.25,38.08,40.95,37.23,1499.84,1490.97,18.129,22.749,26.82,33.66,300,1200,416,98.94,41.1,-0.796,0.7,111114,-9999,-9999
65,15:03:45,17068,1.01,1.01,0.0403,1.77E+03,2.35,5.57,6,0.5,2.25,38.07,40.97,37.26,1999.69,1988.32,17.981,22.574,26.61,33.41,300,1200,474,98.92,44.6,-0.938,0.7,111114,-9999,-9999
