Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 35c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2015,30,NA,NA,NA,NA,NA,Zeamays,NA,NA,NA,302.4249034,3.35,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,2.202025366,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
47,11:51:30,13148,23.18432371,23.18432371,0.133724458,42.86293155,5.932531101,4.487466807,6,0.5,2.25,40.94280624,41.13038254,40.61602402,399.4483643,348.9928894,22.03177261,33.48724747,28.80248642,43.43219376,300.3210449,1198.709229,237.0463562,101.1064606,-5.173275948,-0.253077269,1,111114,-9999,-9999
48,11:53:31,13269.5,19.23289656,19.23289656,0.144550428,23.2521703,6.226454962,4.377712764,6,0.5,2.25,40.85811996,40.93921661,40.61956406,299.709198,258.0757446,21.77039719,33.78921509,28.36210442,44.01675034,300.332428,1199.568604,195.7149811,101.1007843,-4.7023592,-0.245878935,1,111114,-9999,-9999
49,11:57:22,13500.5,15.29986531,15.29986531,0.181796771,16.4391774,7.236882967,4.106007277,6,0.5,2.25,41.73761749,40.74318695,42.01580048,199.6164703,166.6436005,21.73926544,35.68019104,27.03757286,44.37001419,300.3532104,1199.548828,227.7400208,101.0955276,-4.413678169,-0.326452971,1,111114,-9999,-9999
50,11:59:05,13603.5,8.195144624,8.195144624,0.199666144,7.811302493,7.767931511,4.038793296,6,0.5,2.25,42.43837357,40.85922623,42.77848816,99.09490967,81.4616394,21.87312126,36.81783676,26.40784073,44.11780167,300.3844299,1199.104492,231.1615753,101.0926361,-4.183178902,-0.406115294,1,111114,-9999,-9999
51,12:02:56,13834,3.507651399,3.507651399,0.23992429,1.60534668,8.85467639,3.890011561,6,0.5,2.25,42.62387466,40.95469666,42.77570724,35.59275818,28.08963013,21.67352104,38.67613602,25.72445488,45.90171814,300.3847961,1198.811401,198.5203705,101.1016769,-4.194176674,-0.432230711,1,111114,-9999,-9999
52,12:04:30,13928,-0.289259527,-0.289259527,0.246300981,-1.940165842,8.928718244,3.830046348,6,0.5,2.25,42.64761734,40.92861557,42.77443695,-4.842276096,-4.18979454,22.02648163,39.1620903,26.41587067,46.42195129,300.3937988,1200.388794,200.4152832,101.1028519,-4.208575726,-0.425917387,1,111114,-9999,-9999
53,12:08:12,14150,24.78606333,24.78606333,0.238888512,147.7150742,8.795688574,3.878295156,6,0.5,2.25,42.67533112,40.96996689,42.77408218,400.2051086,344.6371155,21.97126007,38.85876465,26.3055954,45.99406433,300.3605042,1200.264648,207.8455505,101.0907364,-5.609942913,-0.38858676,1,111114,-9999,-9999
54,12:09:20,14218.5,25.26806256,25.26806256,0.235820235,140.31022,8.80300748,3.926827823,6,0.5,2.25,42.68644333,41.04137039,42.77287292,399.3626099,342.8591614,21.7684269,38.67290497,25.96451187,45.74606323,300.3666687,1200.09668,227.3276825,101.0876083,-5.539355755,-0.3669765,1,111114,-9999,-9999
55,12:11:39,14357.5,26.60595625,26.60595625,0.220041533,300.6481255,8.435794736,4.008433163,6,0.5,2.25,42.40366745,41.06085205,42.38233566,600.4020386,538.190918,21.73731613,37.94758224,26.30578423,45.55858231,300.3902588,1200.311646,195.4475861,101.0827332,-7.046313763,-0.314356565,1,111114,-9999,-9999
56,12:14:21,14519.5,26.97239345,26.97239345,0.20355946,463.6426644,8.117840761,4.142414689,6,0.5,2.25,42.39643478,41.18959427,42.38348389,798.9778442,733.2138062,21.54127312,37.15356827,25.87026787,44.62053299,300.3876343,1199.976074,195.2600098,101.0823212,-8.939441681,-0.296343565,1,111114,-9999,-9999
