Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 25c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2013,207,NA,NA,NA,NA,NA,Elymuscanadensis,NA,NA,NA,NA,NA,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.605,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
12,10:25:33,4082,-1.87,-1.87,0.189,401,4.42,2.44,6,0.5,2.25,30.07,32.07,28.97,399.74,399.94,14.969,23.595,34.91,55.03,299.9,1200,515,99.74,21.1,-0.926,0.7,111114,-9999,-9999
13,10:29:03,4292,-1.78,-1.78,0.182,305,4.25,2.42,6,0.5,2.25,29.67,31.88,28.55,299.14,300.14,14.995,23.283,35.78,55.55,300.2,1200,514,99.74,19.1,-0.858,0.7,111114,-9999,-9999
14,10:32:34,4503,-1.88,-1.88,0.175,211,4.11,2.44,6,0.5,2.25,29.71,31.87,28.67,199.16,201.27,15.034,23.075,35.78,54.92,299.8,1200,514,99.73,18,-0.771,0.7,111114,-9999,-9999
15,10:34:45,4634,-1.75,-1.75,0.171,116,4.08,2.46,6,0.5,2.25,29.72,31.94,28.56,100.25,102.92,15.061,23.029,35.83,54.78,299.9,1200,514,99.73,15.8,-0.698,0.3,111114,-9999,-9999
16,10:38:16,4844,-1.78,-1.78,0.173,68.8,4.09,2.45,6,0.5,2.25,29.85,31.91,28.87,50.64,53.77,15.08,23.08,35.61,54.51,299.8,1200,513,99.73,14.8,-0.64,0.7,111114,-9999,-9999
17,10:41:46,5055,-1.56,-1.56,0.173,399,4.13,2.47,6,0.5,2.25,29.95,31.97,29.13,399.57,399.39,14.927,22.995,35.03,53.96,300.1,1201,513,99.72,21.6,-0.931,0.3,111114,-9999,-9999
18,10:45:17,5266,-1.38,-1.38,0.174,397,4.16,2.48,6,0.5,2.25,29.97,32.01,29.1,400.7,400.14,14.923,23.058,34.99,54.06,299.8,1201,513,99.71,21.4,-0.926,0.7,111114,-9999,-9999
19,10:48:48,5477,-1.3,-1.3,0.173,587,4.15,2.49,6,0.5,2.25,29.94,32,29.13,601.14,598.78,14.847,22.947,34.86,53.88,300.1,1201,513,99.71,24.6,-1,0.7,111114,-9999,-9999
20,10:52:19,5688,-1.5,-1.5,0.167,780,4.04,2.5,6,0.5,2.25,29.8,31.94,28.93,800.01,796.59,14.791,22.69,35.02,53.72,299.8,1201,512,99.71,27.3,-1.14,0.7,111114,-9999,-9999
21,10:55:50,5899,-0.891,-0.891,0.161,963,3.96,2.53,6,0.5,2.25,29.8,31.98,28.9,1000.24,994.16,14.751,22.491,34.92,53.25,299.9,1200,512,99.71,28.4,-1.2,0.7,111114,-9999,-9999
22,10:59:20,6109,-1.02,-1.02,0.156,1.15E+03,3.87,2.55,6,0.5,2.25,29.8,31.97,28.9,1199.93,1192.72,14.7,22.273,34.81,52.74,299.8,1200,511,99.71,30.1,-1.33,0.7,111114,-9999,-9999
