Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 35c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,328,NA,NA,NA,NA,NA,Pinussylvestris,NA,NA,NA,86.71988203,1.07,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.393831114,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
14,14:57:16,5824.500017,5.215404182,5.215404182,-0.090997519,280.1988912,0.379649902,0.555863788,11.95,0.5,0.038152063,14.07664776,13.97340012,13.90242767,399.4128113,378.0665283,9.227220535,10.72326565,55.91099548,64.84724426,300.0021057,1199.708862,304.7740784,97.51249695,-6.72114563,-0.48546195,1,111114,-9999,-9999
15,14:59:10,5939.000017,4.246674358,4.246674358,-0.085280667,207.7756513,0.394962584,0.550306512,11.95,0.5,0.038152063,14.11223316,14.04781532,13.94538116,299.6131287,282.2542725,9.302282333,10.85836601,56.13925934,65.52645874,300.0194397,1199.403442,396.8658142,97.5247345,-4.97328186,-0.427526236,1,111114,-9999,-9999
16,15:00:51,6040.000017,2.890441647,2.890441647,-0.085671674,136.812847,0.388065184,0.542718396,11.95,0.5,0.038152063,13.87179947,14.04676914,13.48531055,199.5149536,187.7089081,9.404967308,10.93415546,57.7223053,67.01637268,299.9417114,1199.291504,361.8899841,97.53274536,-3.572540283,-0.384732008,1,111114,-9999,-9999
17,15:02:36,6145.000017,1.224910841,1.224910841,-0.081529089,74.90788609,0.391741749,0.525514883,11.95,0.5,0.038152063,13.96103573,13.98722267,13.73708916,100.428215,95.39758301,9.50259304,11.04657364,57.99278259,67.327034,299.8484192,1199.955322,283.294281,97.5359726,-2.240005493,-0.328180075,1,111114,-9999,-9999
18,15:05:44,6333.000017,0.359883703,0.359883703,-0.076388306,41.62158042,0.401544112,0.506827987,11.95,0.5,0.038152063,13.96597862,13.97002697,13.74080276,48.78266144,47.2736969,9.636576653,11.21792316,58.72463226,68.36269379,300.0369263,1199.705688,284.3786621,97.5526123,-2.01940918,-0.313842535,1,111114,-9999,-9999
19,15:08:40,6508.500017,5.045422608,5.045422608,-0.075756043,302.762421,0.402479821,0.503937282,11.95,0.5,0.038152063,13.95137978,13.94424915,13.74239445,400.1140442,379.4068604,9.631446838,11.21677589,58.76498413,68.43784332,299.980957,1199.652588,283.5918274,97.58170319,-6.929046631,-0.511053801,1,111114,-9999,-9999
20,15:09:51,6580.000017,4.943970236,4.943970236,-0.073643006,307.6997867,0.407213173,0.495028511,11.95,0.5,0.038152063,13.9458046,13.92010689,13.74679756,400.1163635,379.8029175,9.677955627,11.28202915,59.0837822,68.86587524,299.9424133,1199.778931,372.4268494,97.58509827,-6.659515381,-0.499542952,1,111114,-9999,-9999
21,15:11:34,6682.500017,5.100596467,5.100596467,-0.078442188,496.3581873,0.382231511,0.495268137,11.95,0.5,0.038152063,13.93968201,13.91632938,13.71895313,599.8528442,578.6643066,9.769844055,11.27453136,59.86186218,68.85246277,300.1399841,1200.018921,284.2098389,97.59403229,-11.14584351,-0.595929861,1,111114,-9999,-9999
22,15:13:55,6824.000017,6.066913787,6.066913787,-0.074272793,684.0346717,0.398667685,0.489124507,11.95,0.5,0.038152063,13.94377995,13.91574001,13.74302673,800.7803955,775.3757935,9.765637398,11.33607864,59.62228012,69.21494293,299.9203491,1199.692627,324.2767944,97.6007309,-15.65084839,-0.676975965,1,111114,-9999,-9999
