Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 25c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,309,NA,NA,NA,NA,NA,Pinussylvestris,NA,NA,NA,37.31343284,1.96,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.682576652,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
1,12:07:43,128.5000091,7.969215944,7.969215944,0.062355478,175.0835319,1.314933347,2.098421936,2.5,0.5,3.551087022,24.88997841,24.95796967,24.71554756,399.440155,392.3595886,9.656657219,10.74213791,30.61207008,33.97501373,299.5926514,1199.454468,41.0968132,99.91462708,-5.728606224,-0.200919509,1,111114,-9999,-9999
2,12:09:20,225.5000091,5.959712223,5.959712223,0.065013506,137.8580612,1.359523304,2.082328656,2.5,0.5,3.551087022,24.87582779,24.95337486,24.70366096,299.4749756,294.1681519,9.772041321,10.8941412,31.00746346,34.48656464,299.5973206,1199.27002,37.96209717,99.91801453,-4.483031273,-0.191969275,1,111114,-9999,-9999
3,12:11:04,329.5000091,3.510083678,3.510083678,0.066932178,106.5011683,1.392841785,2.073300801,2.5,0.5,3.551087022,24.8787632,24.95585823,24.7015667,200.0537872,196.8955841,9.839053154,10.98867321,31.21829605,34.78297424,299.563385,1199.107666,37.75584412,99.92275238,-2.862120628,-0.196876884,1,111114,-9999,-9999
4,12:12:49,434.5000091,0.849578561,0.849578561,0.069324215,75.1724896,1.437035364,2.066588302,2.5,0.5,3.551087022,24.87843323,24.95405388,24.69972992,98.85527039,98.02876282,9.866456985,11.05237675,31.30849075,34.98495102,299.5887146,1199.062256,38.08150482,99.92327881,-1.77326107,-0.197834373,1,111114,-9999,-9999
5,12:15:25,590.5000091,-0.47328047,-0.47328047,0.07233309,58.44029991,1.495786339,2.063200595,2.5,0.5,3.551087022,24.88313675,24.96062851,24.70189285,49.27442932,49.60744095,9.864674568,11.09898281,31.29735756,35.12208939,299.5979004,1198.768311,37.82222366,99.92095947,-1.272284508,-0.196292281,1,111114,-9999,-9999
6,12:18:10,755.5000091,9.003006813,9.003006813,0.07479211,186.6382038,1.543428992,2.060297419,2.5,0.5,3.551087022,24.8841877,24.95116425,24.70213699,400.4602356,392.4419861,9.836627007,11.11027336,31.20876503,35.15595627,299.5888672,1198.789551,39.88724518,99.91960907,-5.744605064,-0.190916419,1,111114,-9999,-9999
7,12:19:16,821.5000091,9.173428197,9.173428197,0.075725384,184.4316943,1.561865722,2.059737599,2.5,0.5,3.551087022,24.88168144,24.94816399,24.70107841,399.6373291,391.4720459,9.821391106,11.11025906,31.16600037,35.16141129,299.5871277,1198.943848,40.77441025,99.91906738,-5.797308922,-0.186951995,1,111114,-9999,-9999
8,12:21:37,962.5000091,13.41638197,13.41638197,0.076880107,289.4202565,1.587356655,2.062512871,2.5,0.5,3.551087022,24.88757133,24.95858574,24.69956398,600.5598755,588.5844727,9.79252243,11.10243893,31.06438065,35.12319565,299.5864868,1198.47937,37.35638428,99.91699219,-9.266486168,-0.180170417,1,111114,-9999,-9999
9,12:23:59,1104.500009,17.32334587,17.32334587,0.077377257,399.2698188,1.598441079,2.06382419,2.5,0.5,3.551087022,24.88497543,24.95488358,24.7017765,799.5861816,784.0849609,9.76358223,11.08261299,30.97756577,35.06533432,299.5999451,1200.535889,42.83100891,99.91423035,-13.37226009,-0.182439208,1,111114,-9999,-9999
