Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 15c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2013,252,NA,NA,NA,NA,NA,Poapratensis,NA,NA,NA,158.0147033,3.47,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.337137027,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
1,13:21:13,1576,2.63,2.63,0.048,299,0.41,0.857,6,0.5,2.25,12.95,13.94,12.89,398.65,393.06,6.648,7.464,44.07,49.48,299.4,1201,0,99.31,6.06,0.698,0.7,111114,-9999,-9999
2,13:23:24,1707.5,2.48,2.48,0.0482,207,0.406,0.843,6,0.5,2.25,12.92,13.78,13.11,299.75,294.54,6.624,7.431,44.01,49.37,299.4,1201,0,99.31,6.72,0.7,0.7,111114,-9999,-9999
3,13:25:35,1838.5,1.42,1.42,0.0469,144,0.397,0.848,6,0.5,2.25,13.36,13.82,13.72,198.73,195.72,6.642,7.431,42.97,47.95,299.4,1201,0,99.31,6.83,0.695,1,111114,-9999,-9999
4,13:27:50,1973,0.96,0.96,0.0453,61.4,0.387,0.855,6,0.5,2.25,13.58,13.87,13.88,99.02,97.02,6.644,7.413,42.41,47.17,299.4,1200,0,99.31,6.66,0.687,1,111114,-9999,-9999
5,13:30:26,2129.5,0.591,0.591,0.0475,27.1,0.406,0.857,6,0.5,2.25,13.82,13.9,14.28,49.16,47.94,6.614,7.421,41.54,46.49,299.4,1200,0,99.3,6.59,0.685,1,111114,-9999,-9999
6,13:32:59,2282.5,3.21,3.21,0.048,281,0.412,0.86,6,0.5,2.25,13.87,13.92,14.27,400.73,393.98,6.594,7.414,41.28,46.28,299.5,1200,0,99.3,6.02,0.702,1,111114,-9999,-9999
7,13:34:07,2350.5,3.41,3.41,0.0491,274,0.424,0.866,6,0.5,2.25,13.89,13.99,14.27,399.22,392.05,6.577,7.42,41.1,46.27,299.5,1200,0,99.3,5.92,0.701,1,111114,-9999,-9999
8,13:36:41,2504.5,4.62,4.62,0.0476,426,0.416,0.877,6,0.5,2.25,13.7,14.08,13.83,600.69,590.94,6.578,7.407,41.62,46.74,299.4,1200,0,99.29,4.66,0.704,1,111114,-9999,-9999
9,13:39:17,2660.5,5.59,5.59,0.0488,592,0.425,0.873,6,0.5,2.25,13.63,14.04,13.88,800.25,788.38,6.555,7.401,41.65,46.92,299.4,1199,0,99.29,2.99,0.713,1,111114,-9999,-9999
10,13:41:56,2819.5,6.32,6.32,0.047,756,0.412,0.878,6,0.5,2.25,13.63,14.06,13.88,1000.54,987.06,6.562,7.381,41.72,46.8,299.5,1199,0,99.29,0.787,0.72,1,111114,-9999,-9999
