Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 15c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,30,NA,NA,NA,NA,NA,Ulmusamericana,NA,NA,NA,164.4395251,1.88,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.368384321,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
1,10:29:45,628,1.44,1.44,0.0698,356,0.635,0.922,6,0.5,2.25,12.92,14.86,12.32,398.88,395.49,6.506,7.767,43.35,51.75,299.8,1201,427,99.62,18.7,-0.302,0.7,111114,-9999,-9999
2,10:33:15,838,1.15,1.15,0.066,265,0.609,0.935,6,0.5,2.25,13.2,14.97,12.68,300.32,297.65,6.55,7.759,42.83,50.74,300,1200,487,99.61,17.5,-0.266,0.7,111114,-9999,-9999
3,10:36:44,1047,0.926,0.926,0.0678,173,0.624,0.933,6,0.5,2.25,13.31,14.96,12.95,199.8,197.7,6.539,7.779,42.48,50.53,299.8,1200,405,99.61,15.9,-0.222,0.3,111114,-9999,-9999
4,10:40:14,1257,0.364,0.364,0.081,89.9,0.723,0.909,6,0.5,2.25,13.45,14.95,13.18,99.53,98.66,6.563,7.997,42.24,51.47,299.9,1199,420,99.61,14.3,-0.171,0.3,111114,-9999,-9999
5,10:43:44,1467,-0.255,-0.255,0.106,52.8,0.891,0.869,6,0.5,2.25,13.46,14.93,13.15,49.09,49.51,6.612,8.38,42.51,53.88,299.9,1199,478,99.6,13.3,-0.149,0.3,111114,-9999,-9999
6,10:47:14,1677,1.45,1.45,0.13,372,1.05,0.842,6,0.5,2.25,13.61,14.95,13.35,400.09,396.36,6.59,8.679,41.95,55.25,299.7,1199,400,99.57,18.9,-0.358,0.3,111124,-9999,-9999
7,10:50:44,1887,1.37,1.37,0.127,373,0.995,0.812,6,0.5,2.25,13.09,14.68,12.16,400.15,396.61,6.708,8.681,44.17,57.16,299.8,1199,403,99.55,18.8,-0.338,0.7,111114,-9999,-9999
8,10:54:14,2096,2.08,2.08,0.09,549,0.767,0.872,6,0.5,2.25,13.07,14.89,12.43,600.04,594.96,6.792,8.315,44.77,54.81,299.8,1199,465,99.55,20.8,-0.4,0.7,111114,-9999,-9999
9,10:57:43,2306,2.55,2.55,0.0685,723,0.607,0.898,6,0.5,2.25,13.32,14.94,12.94,801.08,795.01,6.893,8.098,44.7,52.52,299.9,1199,400,99.55,22,-0.445,0.7,111114,-9999,-9999
10,11:01:13,2516,2.49,2.49,0.0593,912,0.532,0.905,6,0.5,2.25,13.3,14.99,12.96,1000.59,994.55,7.039,8.095,45.71,52.56,299.8,1199,401,99.56,23.6,-0.496,0.7,111114,-9999,-9999
11,11:04:42,2724,3.02,3.02,0.0555,1.09E+03,0.492,0.891,6,0.5,2.25,13.3,14.95,12.96,1200.45,1193.24,7.208,8.183,46.82,53.16,299.8,1199,444,99.55,23.7,-0.554,0.7,111114,-9999,-9999
12,11:08:11,2934,2.63,2.63,0.0529,1.39E+03,0.459,0.874,6,0.5,2.25,13.29,14.93,12.96,1499.52,1492.9,7.426,8.338,48.25,54.18,299.8,1199,419,99.53,24.6,-0.622,0.7,111114,-9999,-9999
13,11:11:40,3143,3.5,3.5,0.05,1.85E+03,0.429,0.861,6,0.5,2.25,13.3,14.96,12.92,2000.2,1991.48,7.642,8.493,49.61,55.14,299.8,1199,401,99.52,22.5,-0.724,0.7,111114,-9999,-9999
