Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 30c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,16,NA,NA,NA,NA,NA,Sorghumbicolor,NA,NA,NA,227.0006876,2.71,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.977540748,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
11,11:54:54,4449,10.8,10.8,0.0742,134,0.629,0.854,6,0.5,2.25,11.96,13.95,11.42,399.14,377.04,6.313,7.563,44.32,53.09,299.8,1201,454,98.58,19.5,-0.268,1,111114,-9999,-9999
12,11:56:55,4570,8.82,8.82,0.0742,83.3,0.628,0.851,6,0.5,2.25,12.07,13.93,11.57,299.39,281.39,6.321,7.568,44.06,52.75,299.8,1201,482,98.58,17.4,-0.218,0.3,111114,-9999,-9999
13,11:58:54,4689,6.05,6.05,0.0754,53.5,0.638,0.852,6,0.5,2.25,12.6,13.98,12.39,199.45,187.12,6.344,7.61,42.72,51.25,300,1200,452,98.58,16,-0.199,0.3,111114,-9999,-9999
14,12:02:24,4898,3.29,3.29,0.0837,26.7,0.688,0.83,6,0.5,2.25,12.59,13.86,12.37,99.14,92.44,6.34,7.706,42.71,51.92,299.8,1201,449,98.58,14.1,-0.148,0.3,111114,-9999,-9999
15,12:05:53,5108,1.65,1.65,0.0902,15.3,0.741,0.832,6,0.5,2.25,13.14,13.97,13.17,49.48,46.1,6.336,7.806,41.17,50.72,300,1200,479,98.58,13.3,-0.136,0.3,111114,-9999,-9999
16,12:09:21,5316,-0.154,-0.154,0.0963,0.809,0.784,0.827,6,0.5,2.25,13.4,14,13.55,-2.17,-1.86,6.325,7.881,40.4,50.34,300.1,1201,473,98.58,12.2,-0.117,0.3,111114,-9999,-9999
17,12:12:50,5525,4.33,4.33,0.0962,312,0.793,0.837,6,0.5,2.25,13.39,13.98,13.54,400.27,390.99,6.191,7.765,39.57,49.64,299.9,1200,455,98.57,18.7,-0.322,0.3,111114,-9999,-9999
18,12:13:58,5593,5.19,5.19,0.0999,299,0.81,0.825,6,0.5,2.25,13.48,13.88,13.68,400.42,389.41,6.172,7.781,39.22,49.45,299.8,1201,452,98.57,18.6,-0.316,0.7,111114,-9999,-9999
19,12:16:00,5715,6.5,6.5,0.098,470,0.811,0.84,6,0.5,2.25,13.8,13.98,14.12,600.77,586.82,6.122,7.732,38.12,48.14,299.9,1201,453,98.57,20.4,-0.415,0.7,111114,-9999,-9999
20,12:18:17,5852,7.72,7.72,0.0962,640,0.81,0.856,6,0.5,2.25,13.58,14.09,13.66,799.86,783.13,6.084,7.694,38.42,48.58,299.8,1199,499,98.56,21.5,-0.464,0.7,111114,-9999,-9999
