Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 20c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2014,91,NA,NA,NA,NA,NA,Cedrelaoderata,NA,NA,NA,209.4890144,1.46,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.417915107,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
27,13:24:28,6329.5,1.96,1.96,0.0293,279,0.459,1.54,6,0.5,2.25,21.62,23.29,21.25,400.2,395.91,12.507,13.414,47.76,51.23,299.6,1199,46,99.05,22.8,-0.1,1,111114,-9999,-9999
28,13:26:16,6437,1.29,1.29,0.0271,213,0.42,1.52,6,0.5,2.25,20.87,23.17,20.19,299.16,296.33,12.537,13.367,50.23,53.47,299.6,1199,46,99.05,21.5,-0.0845,1,111114,-9999,-9999
29,13:28:29,6570.5,0.69,0.69,0.0293,156,0.448,1.5,6,0.5,2.25,20.64,23.05,20,199.61,198.05,12.489,13.375,50.74,54.26,299.6,1199,46,99.06,19.8,-0.0823,1,111114,-9999,-9999
30,13:30:18,6679,0.000947,0.000947,0.0326,97.7,0.493,1.49,6,0.5,2.25,20.63,22.99,20,100.22,100.12,12.467,13.44,50.72,54.59,299.6,1199,46,99.07,17.7,-0.0806,1,111114,-9999,-9999
31,13:32:20,6801.5,-0.323,-0.323,0.0374,62.8,0.558,1.47,6,0.5,2.25,20.62,22.95,20,49.58,50.17,12.422,13.524,50.53,54.94,299.6,1199,46,99.08,16.4,-0.0923,1,111114,-9999,-9999
32,13:34:31,6932,1.58,1.58,0.0442,330,0.65,1.45,6,0.5,2.25,20.62,22.92,20,400.65,396.96,12.356,13.64,50.2,55.41,299.6,1199,46,99.08,22.8,-0.0821,0.7,111114,-9999,-9999
33,13:35:39,7000.5,2.07,2.07,0.0457,313,0.669,1.45,6,0.5,2.25,20.63,22.93,20,399.72,395.05,12.366,13.689,50.32,55.61,299.6,1199,46,99.08,22.7,-0.0766,1,111114,-9999,-9999
34,13:37:45,7126.5,2.59,2.59,0.0389,473,0.584,1.48,6,0.5,2.25,20.63,22.98,20,599.73,593.86,12.327,13.48,50.15,54.76,299.6,1199,46,99.09,25.2,-0.0739,1,111114,-9999,-9999
35,13:40:17,7278.5,3.11,3.11,0.0283,598,0.438,1.52,6,0.5,2.25,20.63,23.02,20,800.32,793.39,12.254,13.12,49.78,53.29,299.6,1199,46,99.08,26.8,-0.0648,1,111114,-9999,-9999
36,13:42:12,7393.5,3.42,3.42,0.025,750,0.394,1.54,6,0.5,2.25,20.63,23.06,20,1000.74,993.1,12.218,12.996,49.61,52.77,299.6,1201,46,99.08,28.3,-0.0616,1,111114,-9999,-9999
37,13:44:20,7521.5,3.67,3.67,0.0234,913,0.371,1.55,6,0.5,2.25,20.64,23.08,20,1200.57,1192.33,12.176,12.91,49.43,52.41,299.6,1201,46,99.1,29.1,-0.0615,1,111114,-9999,-9999
38,13:46:38,7659.5,3.73,3.73,0.0222,1.19E+03,0.353,1.56,6,0.5,2.25,20.64,23.08,20,1500.01,1491.5,12.16,12.858,49.42,52.2,299.6,1201,46,99.1,29.5,-0.0557,1,111114,-9999,-9999
39,13:49:13,7814.5,3.92,3.92,0.0218,1.65E+03,0.349,1.57,6,0.5,2.25,20.65,23.08,20,1999.91,1990.67,12.1,12.789,49.16,51.9,299.6,1200,46,99.11,28.8,-0.0523,1,111114,-9999,-9999
