Investigator name: Nick Smith
Contact information: ngsmith@purdue.edu
Site name in full: Purdue Growth Chamber
Vegetation type: NA
Soil type: Field Mixture
Major species: NA
Sample leaf light environment: Chamber light (~1000 PAR)
Water stress assessment: No water stress
Instrument used: Licor-6400
Extra info: 7day acclimation at 35c
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent
NoUnit,NorthPositive,EastPositive,m,NoUnit,DayOfYear,DayOfYear,DayOfYear,Year,m,m2/m2,NoBlankSpace,Minutes,m,days,cm2/g,%,%,%
NA,NA,NA,NA,2013,269,NA,NA,NA,NA,NA,Triticumaestivum,NA,NA,NA,234.0694662,5.3,NA,NA
Gamma*,Kc,Ko,Alpha,Rd,gi
Pa,Pa,Pa,NoUnit,umol/m2/s,umol/m2/s/Pa
-9999,-9999,-9999,-9999,0.596525894,-9999
Obs,HHMMSS,FTime,Photo,!AdjPhoto,!StomCond,!Ci,!Trmmol,!VpdL,Area,StmRat,BLCond,Tair,!Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,!PARi,PARo,Press,CsMch,HsMch,StableF,Status,PhiPS2,OxygenPress
NoUnit,HHMMSS,Second,umol/m2/s,umol/m2/s,mol/m2/s,umol/mol,mmol/m2/s,kPa,cm2,NA,mol/m2/s,oC,oC,oC,umol/mol,umol/mol,mmol/mol,mmol/mol,%,%,umol/s,umol/m2/s,umol/m2/s,Kpa,umol/mol,mmol/mol,NA,NA,NA,KPA
12,10:09:06,4335.5,9.13,9.13,0.129,257,1.13,0.913,6,0.5,2.25,12.25,14.12,11.54,400.53,381.37,4.829,7.074,33.6,49.22,299.5,1200,1,99.58,5.57,0.656,1,111114,1,-0.207
13,10:11:05,4455,7.87,7.87,0.128,176,1.1,0.895,6,0.5,2.25,12.14,13.95,11.54,298.5,282.11,4.878,7.075,34.45,49.59,299.4,1200,1,99.58,6.22,0.648,1,111114,1,-0.207
14,10:13:26,4596,6.74,6.74,0.134,98.9,1.13,0.879,6,0.5,2.25,12.18,13.79,11.74,199.2,185.27,4.81,7.064,33.62,49.37,299.4,1201,1,99.59,6.2,0.645,1,111114,1,-0.207
15,10:15:45,4734.5,4.47,4.47,0.132,31.1,1.11,0.879,6,0.5,2.25,12.67,13.83,12.51,98.11,88.97,4.893,7.102,33.43,48.07,299.5,1201,1,99.59,6.14,0.638,1,111114,1,-0.207
16,10:18:22,4892,3.34,3.34,0.135,-0.132,1.15,0.89,6,0.5,2.25,12.63,13.97,12.33,48.53,41.74,4.844,7.139,33.13,48.46,299.4,1200,1,99.59,5.89,0.632,1,111114,1,-0.207
17,10:21:33,5082.5,7.47,7.47,0.136,287,1.17,0.898,6,0.5,2.25,12.67,14.1,12.33,400.37,384.5,4.866,7.188,33.28,48.67,299.4,1200,1,99.6,5.65,0.651,1,111114,1,-0.207
18,10:22:55,5165,7.97,7.97,0.139,281,1.2,0.901,6,0.5,2.25,12.68,14.13,12.33,399.04,382.16,4.821,7.203,32.9,48.76,299.5,1200,1,99.6,5.79,0.652,1,111114,1,-0.207
19,10:25:42,5332,8.99,8.99,0.141,466,1.21,0.897,6,0.5,2.25,12.54,14.1,12.13,600.42,581,4.807,7.208,33.1,49.24,299.4,1200,1,99.61,4.35,0.658,1,111114,1,-0.207
20,10:28:25,5494.5,9.69,9.69,0.14,651,1.2,0.894,6,0.5,2.25,12.53,14.08,12.13,799.4,778.11,4.833,7.215,33.37,49.31,299.4,1200,1,99.61,2.34,0.664,1,111114,1,-0.207
21,10:31:07,5657,10.3,10.3,0.144,844,1.23,0.896,6,0.5,2.25,12.53,14.11,12.13,1000.43,977.4,4.783,7.232,32.96,49.42,299.5,1200,0,99.61,0.109,0.67,1,111114,1,-0.207
22,10:34:57,5887,11.3,11.3,0.146,1.03E+03,1.38,0.995,6,0.5,2.25,12.05,15.25,10.86,1200.54,1174.66,4.721,7.471,33.31,52.71,299.5,1199,1,99.62,-1.61,0.677,1,111114,1,-0.207
